date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2023-06-28,0.0,0.0,0.0,0,4802.08,4817.88,0.0,False
2023-06-29,-5.216000000000109,-260.80000000000547,-4.630000000000109,1,4810.53,4835.05,-0.0010842880098450918,False
2023-06-30,3.7380000000007643,186.9000000000382,4.910000000000764,2,4869.65,4889.27,0.0007676116353332918,False
2023-07-03,0.0,0.0,0.0,0,4885.45,4895.53,0.0,True
2023-07-04,0.0,0.0,0.0,0,4894.72,4893.9,0.0,True
2023-07-05,0.0,0.0,0.0,0,4872.92,4886.27,0.0,False
2023-07-06,-4.711999999999963,-235.59999999999818,-3.5399999999999636,2,4842.95,4845.95,-0.0009729606954438851,False
2023-07-07,-27.836,-1391.8,-27.25,1,4833.14,4833.14,-0.005759402789904699,False
2023-07-10,0.0,0.0,0.0,0,4827.96,4844.86,0.0,False
2023-07-11,0.0,0.0,0.0,0,4853.03,4874.83,0.0,False
2023-07-12,0.0,0.0,0.0,0,4917.87,4914.33,0.0,False
2023-07-13,0.0,0.0,0.0,0,4932.59,4950.84,0.0,False
2023-07-14,0.0,0.0,0.0,0,4960.38,4946.76,0.0,False
2023-07-17,0.19799999999989093,9.899999999994547,1.3699999999998909,2,4944.3,4963.65,4.004611370667049e-05,False
2023-07-18,20.934000000000438,1046.7000000000219,21.520000000000437,1,4958.74,4999.88,0.004221636948095774,False
2023-07-19,-3.0460000000000362,-152.3000000000018,-2.4600000000000364,1,5008.06,5008.88,-0.0006082195500852698,False
2023-07-20,0.0,0.0,0.0,0,4996.07,4975.09,0.0,False
2023-07-21,0.0,0.0,0.0,0,4993.35,4973.73,0.0,False
2023-07-24,0.2240000000004002,11.20000000002001,0.8100000000004002,1,4986.26,4996.07,4.4923449639689905e-05,False
2023-07-25,-0.586,-29.299999999999997,0.0,1,4991.44,5008.06,-0.00011740099049572868,False
2023-07-26,0.0,0.0,0.0,0,4997.16,5009.15,0.0,False
2023-07-27,15.214000000000182,760.700000000009,15.800000000000182,1,5045.11,4973.46,0.0030155933170932215,False
2023-07-28,-7.945999999999673,-397.29999999998364,-7.359999999999673,1,5009.69,5020.59,-0.0015861260876420843,False
2023-07-31,0.0,0.0,0.0,0,5025.77,5030.67,0.0,False
2023-08-01,0.0,0.0,0.0,0,5012.69,5014.32,0.0,False
2023-08-02,19.573999999999856,978.6999999999928,20.159999999999854,1,4978.09,4943.76,0.003932030156144195,False
2023-08-03,0.0,0.0,0.0,0,4918.69,4926.32,0.0,False
2023-08-04,-10.432000000000219,-521.6000000000109,-9.260000000000218,2,4946.21,4903.43,-0.0021090895857636895,False
2023-08-07,-13.711999999999964,-685.5999999999982,-12.539999999999964,2,4924.14,4945.94,-0.0027846486899235122,False
2023-08-08,-9.974000000000109,-498.70000000000545,-7.630000000000109,4,4915.97,4923.05,-0.0020288976539726868,False
2023-08-09,-14.558000000000181,-727.9000000000091,-12.800000000000182,3,4925.78,4889.27,-0.0029554710116976766,False
2023-08-10,-27.601999999999382,-1380.0999999999692,-26.42999999999938,2,4914.06,4889.27,-0.005616944034057252,False
2023-08-11,0.0,0.0,0.0,0,4866.65,4884.63,0.0,False
2023-08-14,-11.521999999999455,-576.0999999999727,-10.349999999999454,2,4874.28,4911.61,-0.0023638362999252108,False
2023-08-15,17.86199999999989,893.0999999999946,19.61999999999989,3,4890.36,4854.12,0.0036524918410914316,False
2023-08-16,5.133999999999345,256.69999999996725,5.719999999999345,1,4847.85,4816.52,0.0010590261662385067,False
2023-08-17,9.764000000000363,488.2000000000182,10.350000000000364,1,4831.23,4777.29,0.002021017422064436,False
2023-08-18,0.0,0.0,0.0,0,4744.59,4778.65,0.0,False
2023-08-21,-23.466000000000108,-1173.3000000000054,-22.88000000000011,1,4789.82,4809.16,-0.004899140259968038,False
2023-08-22,0.0,0.0,0.0,0,4829.05,4795.0,0.0,False
2023-08-23,28.29400000000011,1414.7000000000055,28.88000000000011,1,4806.71,4847.58,0.005886354699992325,False
2023-08-24,45.73399999999971,2286.6999999999857,46.31999999999971,1,4864.47,4778.92,0.009401640877628951,False
2023-08-25,0.0,0.0,0.0,0,4797.72,4811.62,0.0,False
2023-08-28,0.0,0.0,0.0,0,4836.41,4840.77,0.0,False
2023-08-29,57.44399999999975,2872.1999999999875,58.029999999999745,1,4839.95,4910.79,0.011868717652041809,False
2023-08-30,-22.105999999999526,-1105.2999999999763,-21.519999999999527,1,4914.33,4930.41,-0.00449827341672202,False
2023-08-31,0.0,0.0,0.0,0,4934.49,4919.78,0.0,False
2023-09-01,0.0,0.0,0.0,0,4950.84,4929.05,0.0,False
2023-09-04,0.0,0.0,0.0,0,4933.13,4924.69,0.0,True
2023-09-05,-3.8560000000004364,-192.8000000000218,-3.2700000000004366,1,4923.32,4906.7,-0.0007832113289407222,False
2023-09-06,-1.9559999999998907,-97.79999999999454,-1.3699999999998909,1,4896.62,4872.65,-0.00039945921880805345,False
2023-09-07,0.0,0.0,0.0,0,4836.68,4855.48,0.0,False
2023-09-08,-0.035999999999818066,-1.7999999999909033,0.5500000000001819,1,4855.48,4862.29,-7.414303014288612e-06,False
2023-09-11,0.0,0.0,0.0,0,4891.45,4893.9,0.0,False
2023-09-12,0.0,0.0,0.0,0,4876.19,4865.83,0.0,False
2023-09-13,0.0,0.0,0.0,0,4867.47,4870.47,0.0,False
2023-09-14,-3.816000000000473,-190.80000000002363,-3.230000000000473,1,4896.78,4910.79,-0.000779287613493045,False
2023-09-15,33.37400000000004,1668.7000000000019,33.960000000000036,1,4891.38,4849.07,0.006823023359460937,False
2023-09-18,0.0,0.0,0.0,0,4845.56,4852.57,0.0,False
2023-09-19,-12.985999999999637,-649.2999999999819,-12.399999999999636,1,4841.25,4841.79,-0.0026823650916601364,False
2023-09-20,0.0,0.0,0.0,0,4855.0,4795.43,0.0,False
2023-09-21,28.79400000000011,1439.7000000000055,29.38000000000011,1,4760.66,4714.57,0.006048321031117558,False
2023-09-22,-8.395999999999491,-419.79999999997455,-7.809999999999491,1,4724.55,4702.18,-0.0017771004645944037,False
2023-09-25,-9.756000000000073,-487.80000000000365,-9.170000000000073,1,4687.89,4721.58,-0.0020811068519099364,False
2023-09-26,6.331999999999236,316.5999999999618,8.089999999999236,3,4685.74,4650.97,0.0013513340475568931,False
2023-09-27,-18.915999999999926,-945.7999999999963,-18.329999999999927,1,4663.36,4652.04,-0.0040563027516640204,False
2023-09-28,12.3539999999996,617.6999999999799,12.9399999999996,1,4643.69,4677.11,0.0026603843064458652,False
2023-09-29,-23.495999999999853,-1174.7999999999927,-22.909999999999854,1,4711.07,4664.17,-0.004987402012706212,False
2023-10-02,-10.0259999999996,-501.29999999998,-9.4399999999996,1,4654.47,4662.56,-0.0021540583568053074,False
2023-10-03,8.573999999999854,428.6999999999927,9.159999999999854,1,4636.95,4600.03,0.0018490602659075157,False
2023-10-04,-6.327999999999709,-316.3999999999854,-4.569999999999709,3,4602.99,4631.83,-0.0013747585808354373,False
2023-10-05,2.1139999999998182,105.69999999999091,2.699999999999818,1,4625.9,4626.71,0.0004569921528783196,False
