ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
META,META-042,2025-04-29T14:30:00-04:00,2025-05-01T09:30:00-04:00,9,554.4629,578.3613,26.9852,551.0812,544.9262,55.494,-0.874,2.096,neutral_up,541.8882,0.7962,0.6755
META,META-043,2025-05-06T15:30:00-04:00,2025-05-08T13:30:00-04:00,12,587.1,607.22,26.7545,591.4335,589.4539,-5.725,-7.939,-10.402,neutral,555.1298,4.413,11.6866
META,META-044,2025-05-09T09:30:00-04:00,2025-05-09T11:30:00-04:00,2,595.83,596.02,24.3385,600.5503,597.7596,5.897,-15.486,-47.272,neutral,564.8646,3.2725,9.7347
META,META-045,2025-05-09T12:30:00-04:00,2025-05-09T13:30:00-04:00,1,594.69,592.46,24.3385,598.3881,597.3907,-7.984,-6.102,-13.881,neutral,564.8646,3.2725,9.7347
META,META-046,2025-05-09T15:30:00-04:00,2025-05-12T09:30:00-04:00,1,592.56,627.43,24.3385,595.744,596.2918,-18.881,-3.037,-10.897,neutral,564.8646,3.2725,9.7347
META,META-047,2025-05-15T14:30:00-04:00,2025-05-16T09:30:00-04:00,2,642.029,633.7574,23.9175,651.8182,648.3532,-1.17,-32.574,-32.847,neutral,588.5296,7.08,21.1473
META,META-048,2025-05-20T12:30:00-04:00,2025-05-23T14:30:00-04:00,23,637.7403,628.573,22.6767,638.6808,640.1527,-17.622,0.242,-4.299,neutral,601.6502,3.86,13.1205
META,META-049,2025-05-27T09:30:00-04:00,2025-05-27T13:30:00-04:00,4,637.425,641.8159,20.1441,632.2657,634.1166,-9.113,29.023,17.861,neutral,611.7844,1.5416,6.8988
META,META-050,2025-05-29T15:30:00-04:00,2025-06-02T11:30:00-04:00,10,645.02,662.17,19.0424,644.4229,642.8542,12.791,3.566,-10.975,neutral,617.2086,2.6591,6.9658
META,META-051,2025-06-10T10:30:00-04:00,2025-06-12T15:30:00-04:00,19,696.45,693.31,17.8834,697.5384,694.0643,22.775,-7.537,-14.832,neutral,649.734,4.4346,14.1349
META,META-052,2025-06-13T10:30:00-04:00,2025-06-13T11:30:00-04:00,1,692.8,692.925,16.7554,692.6195,694.1347,-21.121,11.411,-4.319,neutral,661.3489,3.1961,11.6148
META,META-053,2025-06-16T09:30:00-04:00,2025-06-16T10:30:00-04:00,1,705.38,703.72,16.5272,691.6498,692.6084,8.674,65.95,41.121,neutral,663.3035,1.9546,8.7735
META,META-054,2025-06-18T15:30:00-04:00,2025-06-20T11:30:00-04:00,3,695.4,689.0376,16.5701,697.6782,697.952,-15.338,-4.151,-14.818,neutral,669.6024,2.7638,8.2535
META,META-055,2025-07-07T11:30:00-04:00,2025-07-09T10:30:00-04:00,13,721.775,734.655,15.6562,720.633,721.0147,9.327,-4.668,21.101,neutral,699.892,1.9118,5.7017
META,META-056,2025-07-14T14:30:00-04:00,2025-07-16T10:30:00-04:00,10,721.12,704.5,15.3557,722.6265,722.9684,-2.33,-10.419,-8.482,neutral,708.818,0.8792,5.4895
META,META-057,2025-07-18T13:30:00-04:00,2025-07-21T11:30:00-04:00,5,701.86,712.97,14.577,700.4637,703.78,-25.026,11.218,24.726,neutral_down,708.5718,-0.7002,-1.3409
META,META-058,2025-07-25T15:30:00-04:00,2025-07-29T15:30:00-04:00,14,712.93,700.0,13.7909,715.5737,714.4325,-2.724,-10.797,-39.482,neutral,709.2847,0.5495,0.7034
META,META-059,2025-08-06T14:30:00-04:00,2025-08-12T10:30:00-04:00,24,772.29,787.2,20.723,769.5462,765.8691,32.776,2.524,4.604,neutral_up,726.3999,3.697,12.3264
META,META-060,2025-08-14T15:30:00-04:00,2025-08-18T10:30:00-04:00,9,781.82,765.33,19.041,783.2515,781.9862,4.314,-5.446,-20.582,neutral,747.173,3.2697,10.5174
META,META-061,2025-08-26T14:30:00-04:00,2025-08-29T11:30:00-04:00,18,753.645,739.5933,18.4378,752.524,752.0782,3.303,10.016,-0.356,neutral,752.7517,0.0648,-1.0895
META,META-062,2025-09-03T15:30:00-04:00,2025-09-04T10:30:00-04:00,2,736.9,754.015,16.7828,735.9697,737.53,-8.45,3.318,4.41,neutral,749.5949,-1.4515,-2.7697
