ticker,ld,pop,size,delisted,n_bars,e0_ret_252,e0_spy_252,e126_ret_252,e126_spy_252,dipped,days_to_dip,entry_ord,entry_px,ret_end,spy_end,last_ord,ret_1y,spy_1y
MNTN,2025-05-22,0.3125,187200000.0,False,241,,,,,True,144.0,739537.0,15.880000114440918,-0.42191434263103733,0.10337234555984565,739743.0,,
FTRK,2025-05-23,-0.0274999999999999,15000000.0,False,240,,,,,True,0.0,739394.0,3.28,-0.8783841463414634,0.26328331405087124,739743.0,,
PTNM,2025-05-28,0.1274999999999999,7000000.0,True,88,1.303769401330377,0.1354281545326525,,,True,2.0,739401.0,3.8,1.7342105263157896,0.13542815453265256,739527.0,1.7342105263157896,0.13542815453265256
CRCL,2025-06-05,1.225806451612903,1054000000.0,False,232,,,,,False,,,,,,,,
OMDA,2025-06-06,0.2105263157894736,150100000.0,False,231,,,,,True,4.0,739412.0,18.2,-0.098901098901099,0.2130728924852423,739743.0,,
VOYG,2025-06-11,1.25,382799997.0,False,228,,,,,True,58.0,739471.0,30.799999237060547,-0.16818177032920967,0.14815279826736583,739743.0,,
ASIC,2025-06-11,0.3911764481488395,113333339.0,False,228,,,,,True,120.0,739533.0,16.3799991607666,0.18620276560908167,0.09002324333988931,739743.0,,
CHYM,2025-06-12,0.5925925925925926,864000000.0,False,227,,,,,True,69.0,739483.0,26.57,-0.2845314264207752,0.14647944711726812,739743.0,,
VNTG,2025-06-12,0.0974999666213989,13000000.0,False,227,,,,,True,0.0,739414.0,3.799999952316284,-0.7894736784316826,0.2117267080745342,739743.0,,
MENS,2025-06-17,1.0,20000002.5,False,224,,,,,True,183.0,739602.0,2.92,-0.29794520547945214,0.08963360142984822,739743.0,,
EGG,2025-06-18,0.7,14226000.0,False,223,,,,,True,2.0,739422.0,4.670000076293945,0.492505284009108,0.2310358753449553,739743.0,,
SLDE,2025-06-18,0.2352941176470588,408000000.0,False,223,,,,,True,56.0,739476.0,15.46,0.22056921086675296,0.13442602614399357,739743.0,,
CAI,2025-06-18,0.2857142857142858,494117652.0,False,223,,,,,True,239.0,739659.0,20.65,-0.039225181598062875,0.07384737328812374,739743.0,,
FMFC,2025-06-24,0.1899999999999999,8000000.0,False,219,,,,,True,127.0,739553.0,3.04,-0.868421052631579,0.06428664950028384,739743.0,,
HCHL,2025-06-24,0.3500000000000001,5500000.0,False,220,,,,,True,0.0,739426.0,5.0,-0.5980000000000001,0.20567586275091476,739743.0,,
JCAP,2025-06-26,0.2666666666666666,150000000.0,False,218,,,,,False,,,,,,,,
CAEP,2025-06-26,0.0649999999999999,240000000.0,False,218,,,,,False,,,,,,,,
JLHL,2025-06-26,0.5525,5000000.0,False,218,,,,,True,4.0,739432.0,3.84,3.963541666666666,0.18407380432143716,739743.0,,
GRAN,2025-07-01,0.1800000000000001,9375000.0,False,213,,,,,True,0.0,739433.0,4.6,-0.7804347826086957,0.18445721687039596,739743.0,,
CV,2025-07-02,0.0,27500000.0,False,214,,,,,True,0.0,739434.0,3.5,1.0542857142857143,0.17911193488596977,739743.0,,
EMPG,2025-07-02,0.0649999999999999,5500000.0,True,69,3.075117370892019,0.0848738818599403,,,True,1.0,739435.0,3.91,3.4398976982097187,0.07639044359868219,739532.0,3.4398976982097187,0.07639044359868219
MAMK,2025-07-07,0.0,6500000.0,True,94,2.25,0.0825707288780048,,,True,0.0,739439.0,3.69,2.5230352303523036,0.08257072887800487,739569.0,2.5230352303523036,0.08257072887800487
TLIH,2025-07-08,8.675,8960000.0,False,211,,,,,True,132.0,739572.0,3.9,-0.007692307692307665,0.09901302447158522,739743.0,,
ANPA,2025-07-08,-0.0999999999999999,5000000.0,False,208,,,,,True,0.0,739440.0,3.52,0.565340909090909,0.17932101750652873,739743.0,,
